exit_reason,minutes_to_exit,mfe_r,mae_r,r_final,r_at_60min,r_at_120min,r_at_240min,r_at_480min,r_at_720min,action
SL,256.0,0.20926253197673134,-3.3562182331592054,-1.0,-0.09140202546108638,-0.3920665828989041,-0.3062769625099852,-1.0,-1.0,LONG
SL,91.0,0.24445141880400603,-3.854952751629831,-1.0,-0.02582882915664629,-1.0,-1.0,-1.0,-1.0,LONG
SL,406.0,1.099628294043967,-1.0697064357026373,-1.0,0.18380570123961712,0.3184540637756126,0.3173854259777088,-1.0,-1.0,LONG
SL,46.0,0.033080378579241336,-1.1371380136613778,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
TIMEOUT,720.0,0.18173801735090866,-0.733041229778767,-0.5344409221581915,-0.10866809284899089,-0.1133520623683398,-0.018267481125471455,-0.1850167960144529,-0.5344409221581915,SHORT
TIMEOUT,720.0,0.4365551436376164,-0.7068035658894766,-0.5383085981696991,0.09190634602897514,0.038841372428912634,0.1203535483712749,-0.2139010791507659,-0.5383085981696991,SHORT
TIMEOUT,720.0,0.34357178214363776,-0.8755538964305453,-0.734391975753531,0.2969066843991743,-0.008749705827079441,-0.07524747011294952,-0.2951567432337451,-0.734391975753531,SHORT
SL,556.0,0.22147115004363385,-1.0061724452461083,-1.0,0.08278634043164813,-0.03608635352148476,-0.05236059138411672,-0.5016710715045658,-1.0,SHORT
SL,206.0,0.23842218366533846,-1.2361671913952867,-1.0,-0.2850700022085539,0.028507000220849493,-1.0,-1.0,-1.0,SHORT
SL,131.0,0.1574193464759399,-1.4613446561410188,-1.0,-0.048363775122122865,-0.35182275628055054,-1.0,-1.0,-1.0,SHORT
SL,41.0,0.08491940975160715,-1.5557671350647506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SHORT
TP,251.0,2.5454175215988686,-0.3954315106883838,1.9999999999999685,0.2018636383234053,0.700992223493004,0.6318608405055274,1.9999999999999685,1.9999999999999685,SHORT
TIMEOUT,720.0,1.8598539013635704,-0.4563466577845459,0.725191365542799,0.15372402520536668,0.255747145072606,0.28676768827548554,0.09788704744019287,0.725191365542799,SHORT
SL,65.0,0.7241739494101839,-1.065746081355799,-1.0,-0.6564749683038638,-1.0,-1.0,-1.0,-1.0,SHORT
TIMEOUT,720.0,0.22210511000886096,-0.8421346674848612,-0.44454321118714263,-0.23942065081914618,0.06526626920800162,0.020978443673996195,-0.34531184269743465,-0.44454321118714263,SHORT
